round,accuracy,round_time
1,10.65,80
2,10.280000000000001,160
3,13.469999999999999,240
4,32.97,320
5,10.290000000000001,400
6,15.479999999999999,480
7,22.919999999999998,560
8,49.03,640
9,45.53,720
10,52.370000000000005,800
11,62.71,880
12,70.27,960
13,71.28999999999999,1040
14,81.69999999999999,1120
15,79.39,1200
16,83.89,1280
17,80.91000000000001,1360
18,83.86,1440
19,84.32,1520
20,87.29,1600
21,87.48,1680
22,85.32,1760
23,88.52,1840
24,85.6,1920
25,88.89,2000
26,87.72,2080
27,89.14,2160
28,89.99000000000001,2240
29,89.77000000000001,2320
30,91.49000000000001,2400
31,90.32,2480
32,91.46,2560
33,90.74,2640
34,90.89,2720
35,91.11,2800
36,91.13,2880
37,90.86999999999999,2960
38,91.88,3040
39,91.45,3120
40,91.31,3200
41,91.97,3280
42,91.63,3360
43,92.44,3440
44,91.83,3520
45,91.96,3600
46,92.58,3680
47,92.43,3760
48,92.22,3840
49,92.42,3920
50,91.56,4000
51,92.07,4080
52,92.80000000000001,4160
53,92.53,4240
54,92.21000000000001,4320
55,92.56,4400
56,92.93,4480
57,92.80000000000001,4560
58,92.92,4640
59,93.11,4720
60,92.83,4800
61,93.17999999999999,4880
62,93.28,4960
63,93.13,5040
64,93.16,5120
65,93.2,5200
