round,accuracy,training_time,round_time
1,21.406727828746178,20.132437631487846,29.094487562775612
2,21.406727828746178,20.512343160808086,22.02222626283765
3,35.47400611620795,20.029245231300592,22.375622373074293
4,48.47094801223242,19.95575974136591,21.85831042006612
5,40.214067278287466,19.853713557124138,21.305172827094793
6,37.920489296636084,19.973074082285166,22.00649867206812
7,42.04892966360856,19.696918092668056,21.196578681468964
8,42.96636085626911,20.532072260975838,22.469463862478733
9,59.63302752293578,19.467228263616562,21.425057746469975
10,50.917431192660544,20.143196798861027,22.038903076201677
11,46.94189602446483,19.753688860684633,21.625300217419863
12,44.64831804281346,19.589560475200415,21.45535860210657
13,61.16207951070336,20.02342165261507,21.63024552166462
14,34.403669724770644,20.32129916921258,21.78636609017849
15,42.6605504587156,20.173146035522223,21.56698652729392
16,31.039755351681958,19.926641132682562,21.166493576020002
17,32.7217125382263,19.898525826632977,21.80769320204854
18,53.36391437308868,19.632286809384823,21.773288525640965
19,49.38837920489297,19.870827671140432,21.58437517285347
20,59.9388379204893,19.772391468286514,21.537837132811546
21,61.773700305810394,18.99754825606942,21.382041685283184
22,58.103975535168196,19.621859148144722,21.37208716571331
23,59.9388379204893,19.147812962532043,21.371388748288155
24,50.30581039755352,20.254282496869564,21.100960578769445
25,51.37614678899083,20.7675059735775,21.538358706980944
26,63.608562691131496,19.849154070019722,21.939516089856625
27,51.223241590214066,20.04873652756214,21.25238812342286
28,58.40978593272171,19.079270213842392,21.65777714550495
29,70.79510703363916,19.755095660686493,22.074351456016302
30,66.81957186544342,20.313883528113365,21.97475616261363
31,64.6788990825688,20.15132710337639,21.349316343665123
32,47.40061162079511,20.50653552263975,22.533292941749096
33,51.8348623853211,19.294723872095346,21.33552809804678
34,60.09174311926605,20.491314742714167,21.529614225029945
35,67.88990825688074,19.70107989385724,21.429071094840765
36,55.35168195718655,20.221396766602993,21.840877387672663
37,54.28134556574924,19.733345445245504,21.2613409422338
38,64.6788990825688,19.586946688592434,21.489338643848896
39,65.4434250764526,20.169340267777443,21.53447860851884
40,67.58409785932722,20.33805461972952,21.333570957183838
41,67.43119266055045,19.586539816111326,21.995408583432436
42,60.39755351681957,19.655137430876493,21.61361276358366
43,69.72477064220183,19.621503688395023,22.323513139039278
44,66.66666666666666,20.432191666215658,21.50375033915043
45,63.91437308868502,20.39652046561241,21.29070468619466
46,63.76146788990825,19.765656888484955,21.77497537434101
47,70.79510703363916,19.776630878448486,20.894319098442793
48,64.52599388379205,19.923060875386,21.69863770902157
49,68.96024464831805,19.871361944824457,22.347752284258604
50,75.53516819571865,19.191626213490963,21.57863077521324
51,71.86544342507645,20.726971436291933,21.6689536832273
52,66.81957186544342,19.55655136331916,21.340381640940905
53,61.16207951070336,20.125963889062405,22.151038270443678
54,76.14678899082568,19.97712804749608,22.012837048619986
55,70.9480122324159,20.080963764339685,21.36967298015952
56,65.74923547400611,20.216305874288082,21.952030576765537
57,63.30275229357798,19.376313839107752,21.367916882038116
58,66.81957186544342,19.626812517642975,21.29455179721117
59,68.50152905198776,19.41706333681941,21.725572679191828
60,57.03363914373089,19.517482068389654,21.55768070369959
61,66.05504587155964,20.408182561397552,21.96166419237852
62,79.96941896024465,20.652085829526186,21.571892447769642
63,80.27522935779817,20.052356097847223,22.262707222253084
64,78.59327217125383,20.095302406698465,21.635741032660007
65,73.24159021406727,19.792223274707794,21.51264027133584
66,52.293577981651374,19.745038617402315,21.785585708916187
67,77.98165137614679,19.67949251830578,21.64390731230378
68,73.54740061162079,19.5674478597939,21.942620363086462
69,76.29969418960245,19.78416245058179,22.17529134824872
70,73.85321100917432,20.166803892701864,21.918255608528852
71,72.32415902140673,20.65083274245262,21.795682594180107
72,76.91131498470948,20.742442090064287,21.97772904112935
73,77.98165137614679,19.364104997366667,20.942038610577583
74,65.90214067278288,19.71500227227807,21.180161401629448
75,79.66360856269114,20.177370969206095,22.29966304078698
76,74.61773700305811,19.868900328874588,21.02521713450551
77,65.74923547400611,19.734057195484638,22.385981410741806
78,69.72477064220183,21.18526379019022,22.421774838119745
79,72.47706422018348,19.912004083395004,21.100228022783995
80,74.00611620795107,20.243034075945616,21.405219178646803
81,77.82874617737004,19.70510347932577,21.004076715558767
82,71.86544342507645,19.919237352907658,22.104303758591413
