round,accuracy,training_time,round_time
1,18.21561338289963,20.630901753902435,29.317066114395857
2,19.33085501858736,20.48004674911499,22.15274029225111
3,15.613382899628252,19.655845053493977,21.387774109840393
4,16.728624535315987,20.176593877375126,21.514735031872988
5,10.408921933085502,19.82063527405262,21.7767316699028
6,11.524163568773234,19.520118713378906,21.84602103382349
7,10.780669144981413,20.319290943443775,22.020599018782377
8,12.267657992565056,19.846989553421736,21.5111530944705
9,13.011152416356877,19.719603590667248,21.487888421863317
10,23.04832713754647,20.47296252846718,22.424997977912426
11,26.022304832713754,19.64220777526498,21.601235054433346
12,30.483271375464682,19.31890234351158,21.584053579717875
13,11.524163568773234,18.932080633938313,21.553653549402952
14,11.524163568773234,20.279343150556087,21.255587317049503
15,11.524163568773234,20.09771278128028,20.901567418128252
16,21.189591078066915,19.22495048865676,21.39519513770938
17,25.27881040892193,20.267557989805937,22.723323423415422
18,28.99628252788104,20.035496547818184,21.6514005176723
19,10.037174721189592,20.0230914875865,21.770229905843735
20,15.985130111524162,19.73098061233759,21.416042637079954
21,11.152416356877323,20.48437248915434,21.484177831560373
22,17.843866171003718,19.6703494861722,21.831535041332245
23,15.613382899628252,20.026216190308332,21.8607706874609
24,26.022304832713754,20.205658085644245,22.052997183054686
25,9.293680297397769,19.497431345283985,21.4379578307271
26,9.66542750929368,20.005682483315468,21.860804688185453
27,14.869888475836431,19.891747757792473,21.987444829195738
28,11.524163568773234,19.925745893269777,21.964153729379177
29,13.011152416356877,19.436180744320154,21.17790224403143
30,19.702602230483272,19.789494901895523,21.47937025502324
31,9.66542750929368,20.464846197515726,21.54866848886013
32,10.780669144981413,19.60146462917328,21.4361418671906
33,9.66542750929368,19.371851358562708,21.25199043378234
34,13.011152416356877,19.8907974883914,20.980798725038767
35,29.739776951672862,19.9553732983768,21.418477445840836
36,26.022304832713754,19.649573527276516,21.28698106110096
37,20.074349442379184,19.302266515791416,21.611635074019432
38,14.869888475836431,19.93675424158573,21.847892802208662
39,24.907063197026023,19.605380427092314,21.59065681695938
40,23.79182156133829,20.167096126824617,21.60351948812604
41,15.613382899628252,19.996741820126772,21.7727367952466
42,24.907063197026023,19.6126642934978,21.311822090297937
43,13.754646840148698,19.77156838029623,22.00087272003293
44,28.624535315985128,19.71314124390483,22.156309369951487
45,13.011152416356877,20.10180488973856,21.682626821100712
46,13.011152416356877,20.027536068111658,21.031317953020334
47,23.42007434944238,19.13404106348753,21.379924438893795
48,28.624535315985128,20.70185860618949,21.719171922653913
49,10.408921933085502,20.335143335163593,21.9217576906085
50,26.022304832713754,20.146554045379162,21.57176036015153
51,18.95910780669145,20.082863245159388,21.450383730232716
52,25.650557620817843,19.666445340961218,21.46699983254075
53,23.42007434944238,20.094826973974705,21.892297599464655
54,18.587360594795538,20.12084336951375,22.18826412409544
55,15.241635687732341,19.656144432723522,22.311042975634336
56,18.587360594795538,19.50737478584051,21.754676040261984
57,30.111524163568777,19.73755158483982,21.55265535414219
58,21.189591078066915,19.487629029899836,21.75232870876789
59,14.869888475836431,20.219112884253263,21.608341734856367
60,30.855018587360593,19.65930077433586,21.798807185143232
61,21.933085501858738,19.993520583957434,21.522500067949295
62,23.04832713754647,20.221923477947712,21.341701950877905
63,31.226765799256505,19.803930643945932,22.14509090781212
64,20.44609665427509,19.740936845541,21.98094453290105
65,30.111524163568777,19.444347724318504,21.550645474344492
