round,accuracy,round_time
1,10.9,40
2,10.9,80
3,11.33,120
4,17.119999999999997,160
5,32.98,200
6,38.85,240
7,35.32,280
8,47.260000000000005,320
9,52.96999999999999,360
10,55.48,400
11,64.91,440
12,66.41,480
13,68.73,520
14,71.65,560
15,72.85000000000001,600
16,73.7,640
17,77.07000000000001,680
18,83.71,720
19,83.17999999999999,760
20,83.34,800
21,84.56,840
22,86.97,880
23,87.66000000000001,920
24,87.56,960
25,86.95,1000
26,87.87,1040
27,89.64999999999999,1080
28,88.18,1120
29,91.19,1160
30,89.83,1200
31,90.57,1240
32,90.75,1280
33,91.55,1320
34,91.79,1360
35,91.93,1400
36,92.22,1440
37,92.11,1480
38,92.11,1520
39,92.86,1560
40,93.2,1600
41,93.13,1640
42,92.74,1680
43,93.53,1720
44,93.15,1760
45,93.41000000000001,1800
46,93.87,1840
47,94.47,1880
48,94.21000000000001,1920
49,94.19999999999999,1960
50,94.67,2000
51,94.46,2040
52,94.98,2080
53,94.85,2120
54,94.6,2160
55,95.27,2200
56,94.32000000000001,2240
57,95.21,2280
58,94.81,2320
59,95.24000000000001,2360
60,95.30999999999999,2400
61,95.22,2440
62,95.67999999999999,2480
63,94.92,2520
64,95.39999999999999,2560
65,95.43,2600
66,95.66,2640
67,95.17999999999999,2680
68,95.86,2720
69,95.84,2760
70,95.82000000000001,2800
71,96.23,2840
72,96.06,2880
73,96.16,2920
74,96.2,2960
75,96.21,3000
76,95.78999999999999,3040
77,96.15,3080
78,96.36,3120
79,96.2,3160
80,96.41999999999999,3200
81,96.38,3240
82,96.27,3280
83,96.59,3320
84,96.44,3360
85,96.48,3400
86,96.64,3440
87,96.44,3480
88,96.65,3520
89,96.69,3560
90,96.49,3600
91,96.75,3640
92,96.58,3680
93,96.69,3720
94,96.89999999999999,3760
95,96.93,3800
96,96.69,3840
97,96.66,3880
98,96.98,3920
99,96.61999999999999,3960
100,96.74000000000001,4000
101,97.04,4040
102,96.72,4080
103,96.94,4120
104,97.16,4160
105,97.06,4200
106,96.99,4240
107,97.16,4280
108,97.16,4320
109,97.13000000000001,4360
110,97.2,4400
111,97.14,4440
112,96.99,4480
113,97.04,4520
114,97.09,4560
115,97.19,4600
116,97.28999999999999,4640
117,97.37,4680
118,97.11999999999999,4720
119,97.26,4760
120,97.28,4800
121,97.19,4840
122,97.27,4880
123,97.39,4920
124,97.42,4960
125,97.21,5000
