round,accuracy,round_time
1,11.28,40
2,12.275,80
3,22.25,120
4,28.68,160
5,40.57,200
6,45.835,240
7,42.07,280
8,47.955,320
9,57.395,360
10,62.69,400
11,67.98,440
12,71.715,480
13,73.83,520
14,77.21,560
15,78.44,600
16,79.865,640
17,81.02,680
18,85.67,720
19,85.215,760
20,85.91,800
21,87.065,840
22,88.715,880
23,88.67,920
24,89,960
25,88.985,1000
26,89.46,1040
27,90.165,1080
28,88.88,1120
29,91.305,1160
30,90.75,1200
31,91.335,1240
32,91.42,1280
33,92.405,1320
34,92.62,1360
35,92.735,1400
36,92.765,1440
37,92.7,1480
38,92.74,1520
39,93.33,1560
40,93.79,1600
41,93.765,1640
42,93.12,1680
43,92.805,1720
44,93.755,1760
45,94.005,1800
46,94.285,1840
47,94.645,1880
48,94.575,1920
49,94.48,1960
50,94.92,2000
51,94.65,2040
52,95.14,2080
53,95.035,2120
54,94.81,2160
55,95.18,2200
56,94.97,2240
57,95.095,2280
58,94.815,2320
59,95.46,2360
60,95.585,2400
61,95.435,2440
62,95.555,2480
63,95.365,2520
64,95.595,2560
65,95.605,2600
66,95.775,2640
67,95.45,2680
68,95.975,2720
69,96.05,2760
70,95.96,2800
71,96.13,2840
72,96.165,2880
73,96.28,2920
74,96.305,2960
75,96.28,3000
76,95.895,3040
77,96.23,3080
78,96.435,3120
79,96.235,3160
80,96.485,3200
81,96.44,3240
82,96.41,3280
83,96.615,3320
84,96.54,3360
85,96.59,3400
86,96.635,3440
87,96.635,3480
88,96.575,3520
89,96.725,3560
90,96.62,3600
91,96.845,3640
92,96.695,3680
93,96.59,3720
94,96.925,3760
95,96.81,3800
96,96.705,3840
97,96.755,3880
98,96.9,3920
99,96.675,3960
100,96.885,4000
101,96.975,4040
102,96.83,4080
103,97.13,4120
104,97.105,4160
105,97.07,4200
106,97.17,4240
107,97.14,4280
108,97.09,4320
109,97.035,4360
110,97.17,4400
111,97.195,4440
112,97.14,4480
113,96.945,4520
114,97.305,4560
115,97.175,4600
116,97.365,4640
117,97.28,4680
118,97.235,4720
119,97.265,4760
120,97.285,4800
121,97.19,4840
122,97.39,4880
123,97.425,4920
124,97.51,4960
125,97.35,5000
